x,Corediam_7.9445_Length_1000.0000_Core_index_2.0000
75.8,0.997906
76.0,0.997908
76.2,0.9979098
76.4,0.9979111
76.60000000000001,0.9979118
76.80000000000001,0.997912
77.0,0.9979119
77.2,0.9979117
77.4,0.9979115
77.60000000000001,0.9979116
77.80000000000001,0.9979119
78.0,0.9979125
78.2,0.9979132
78.4,0.997914
78.60000000000001,0.9979146
78.80000000000001,0.9979151
79.0,0.9979156
79.2,0.9979158
79.4,0.9979159
79.60000000000001,0.9979159
79.80000000000001,0.9979158
80.0,0.9979156
80.2,0.9979151
80.4,0.9979147
80.60000000000001,0.9979143
80.80000000000001,0.9979138
81.0,0.9979135
81.2,0.9979135
81.4,0.9979139
81.60000000000001,0.9979147
81.80000000000001,0.997916
82.0,0.9979179
82.2,0.9979201
82.4,0.9979226
82.60000000000001,0.9979252
82.80000000000001,0.9979276
83.0,0.9979298
83.2,0.9979316
83.4,0.9979329
83.60000000000001,0.9979334
83.80000000000001,0.9979334
84.0,0.9979326
84.2,0.9979311
84.4,0.9979293
84.60000000000001,0.9979271
84.80000000000001,0.9979249
85.0,0.997923
85.2,0.9979213
85.4,0.9979201
85.60000000000001,0.9979193
85.80000000000001,0.9979188
86.0,0.9979183
86.2,0.9979177
86.4,0.9979166
86.60000000000001,0.9979152
86.80000000000001,0.9979134
87.0,0.9979115
87.2,0.9979097
87.4,0.9979083
87.60000000000001,0.9979074
87.80000000000001,0.997907
88.0,0.997907
88.2,0.9979073
88.4,0.9979075
88.60000000000001,0.9979074
88.80000000000001,0.9979069
89.0,0.9979058
89.2,0.9979044
89.4,0.997903
89.60000000000001,0.9979019
89.80000000000001,0.9979015
90.0,0.9979021
90.2,0.9979037
90.4,0.9979061
90.60000000000001,0.9979092
90.80000000000001,0.9979123
91.0,0.9979151
91.2,0.9979172
91.4,0.9979182
91.60000000000001,0.9979183
91.80000000000001,0.9979175
92.0,0.9979162
92.2,0.9979146
92.4,0.997913
92.60000000000001,0.9979118
92.80000000000001,0.997911
93.0,0.9979108
93.2,0.997911
93.4,0.9979116
93.60000000000001,0.9979124
93.80000000000001,0.9979134
94.0,0.9979145
94.2,0.9979157
94.4,0.9979169
94.60000000000001,0.9979184
94.80000000000001,0.99792
95.0,0.9979218
95.2,0.9979237
95.4,0.9979258
95.60000000000001,0.9979279
95.80000000000001,0.99793
96.0,0.9979323
96.2,0.9979345
96.4,0.9979367
96.60000000000001,0.9979391
96.80000000000001,0.9979416
97.0,0.9979441
97.2,0.9979467
97.4,0.9979491
97.60000000000001,0.9979511
97.80000000000001,0.9979528
98.0,0.9979539
98.2,0.9979544
98.4,0.9979542
98.60000000000001,0.9979535
98.80000000000001,0.9979525
99.0,0.9979513
99.2,0.9979503
99.4,0.9979495
99.60000000000001,0.9979492
99.80000000000001,0.9979496
100.0,0.9979504
100.2,0.9979518
100.4,0.9979534
100.60000000000001,0.9979551
100.80000000000001,0.9979568
101.0,0.9979579
101.2,0.9979587
101.4,0.9979588
101.60000000000001,0.9979583
101.80000000000001,0.9979573
102.0,0.997956
102.2,0.9979545
102.4,0.9979531
102.60000000000001,0.9979519
102.80000000000001,0.9979509
103.0,0.99795
103.2,0.9979494
103.4,0.9979486
103.60000000000001,0.9979476
103.80000000000001,0.9979464
104.0,0.9979451
104.2,0.9979438
104.4,0.9979427
104.60000000000001,0.9979422
104.80000000000001,0.9979423
105.0,0.9979433
105.2,0.9979451
105.4,0.9979475
105.60000000000001,0.9979502
105.80000000000001,0.9979529
106.0,0.9979554
106.2,0.9979572
106.4,0.9979584
106.60000000000001,0.9979588
106.80000000000001,0.9979588
107.0,0.9979585
107.2,0.9979583
107.4,0.9979585
107.60000000000001,0.9979593
107.80000000000001,0.9979607
108.0,0.9979627
108.2,0.9979651
108.4,0.9979677
108.60000000000001,0.9979703
108.80000000000001,0.9979726
109.0,0.9979744
109.2,0.9979756
109.4,0.9979762
109.60000000000001,0.9979764
109.80000000000001,0.9979759
110.0,0.9979753
110.2,0.9979743
110.4,0.997973
110.60000000000001,0.9979717
110.80000000000001,0.9979701
111.0,0.9979685
111.2,0.997967
111.4,0.9979656
111.60000000000001,0.9979646
111.80000000000001,0.997964
112.0,0.9979638
112.2,0.9979641
112.4,0.9979648
112.60000000000001,0.9979655
112.80000000000001,0.9979662
113.0,0.9979667
113.2,0.9979669
113.4,0.9979668
113.60000000000001,0.9979667
113.80000000000001,0.9979666
114.0,0.9979669
114.2,0.9979676
114.4,0.9979689
114.60000000000001,0.9979706
114.80000000000001,0.9979727
115.0,0.997975
115.2,0.9979771
115.4,0.9979787
115.60000000000001,0.9979798
115.80000000000001,0.99798
116.0,0.9979795
116.2,0.9979783
116.4,0.9979765
116.60000000000001,0.9979745
116.80000000000001,0.9979724
117.0,0.9979703
117.2,0.9979686
117.4,0.9979672
117.60000000000001,0.9979662
117.80000000000001,0.9979655
118.0,0.9979652
118.2,0.997965
118.4,0.997965
118.60000000000001,0.997965
118.80000000000001,0.9979651
119.0,0.9979651
119.2,0.9979652
119.4,0.9979653
119.60000000000001,0.9979655
119.80000000000001,0.9979657
120.0,0.997966
120.2,0.9979662
120.4,0.9979663
120.60000000000001,0.9979661
120.80000000000001,0.9979654
121.0,0.9979641
121.2,0.9979624
121.4,0.99796
121.60000000000001,0.9979573
121.80000000000001,0.9979544
122.0,0.9979514
122.2,0.9979488
122.4,0.9979465
122.60000000000001,0.9979448
122.80000000000001,0.9979438
123.0,0.9979432
123.2,0.9979429
123.4,0.9979428
123.60000000000001,0.9979425
123.80000000000001,0.9979419
124.0,0.9979408
124.2,0.9979392
124.4,0.997937
124.60000000000001,0.9979343
124.80000000000001,0.9979312
125.0,0.997928
125.2,0.9979247
125.4,0.9979213
125.60000000000001,0.9979181
125.80000000000001,0.997915
126.0,0.9979121
126.2,0.9979094
126.4,0.997907
126.60000000000001,0.997905
126.80000000000001,0.9979031
127.0,0.9979016
127.2,0.9979001
127.4,0.9978986
127.60000000000001,0.9978969
127.80000000000001,0.9978948
128.0,0.9978921
128.20000000000002,0.997889
128.4,0.9978855
128.6,0.9978819
128.8,0.9978786
129.0,0.9978758
129.20000000000002,0.9978737
129.4,0.9978726
129.6,0.9978722
129.8,0.9978725
130.0,0.9978732
130.20000000000002,0.9978739
130.4,0.9978744
130.6,0.9978746
130.8,0.9978744
131.0,0.997874
131.20000000000002,0.9978737
131.4,0.9978735
131.6,0.9978738
131.8,0.9978748
132.0,0.9978763
132.20000000000002,0.9978784
132.4,0.9978808
132.6,0.9978831
132.8,0.9978852
133.0,0.997887
133.20000000000002,0.9978881
133.4,0.9978889
133.6,0.9978892
133.8,0.997889
134.0,0.9978886
134.20000000000002,0.997888
134.4,0.9978871
134.6,0.997886
134.8,0.9978847
135.0,0.9978831
135.20000000000002,0.9978813
135.4,0.9978792
135.6,0.997877
135.8,0.9978748
136.0,0.9978727
136.20000000000002,0.9978708
136.4,0.9978693
136.6,0.9978682
136.8,0.9978676
137.0,0.9978675
137.20000000000002,0.9978678
137.4,0.9978685
137.6,0.9978696
137.8,0.9978709
138.0,0.9978724
138.20000000000002,0.9978737
138.4,0.9978749
138.6,0.9978756
138.8,0.997876
139.0,0.9978758
139.20000000000002,0.997875
139.4,0.9978737
139.6,0.9978721
139.8,0.9978703
140.0,0.9978685
140.20000000000002,0.9978668
140.4,0.9978654
140.6,0.9978645
140.8,0.9978639
141.0,0.9978637
141.20000000000002,0.9978639
141.4,0.9978645
141.6,0.9978654
141.8,0.9978663
142.0,0.9978673
142.20000000000002,0.9978681
142.4,0.9978686
142.6,0.9978687
142.8,0.9978682
143.0,0.9978672
143.20000000000002,0.9978656
143.4,0.9978638
143.6,0.997862
143.8,0.9978606
144.0,0.9978596
144.20000000000002,0.9978594
144.4,0.9978598
144.6,0.9978609
144.8,0.9978622
145.0,0.9978635
145.20000000000002,0.9978644
145.4,0.9978646
145.6,0.9978641
145.8,0.997863
146.0,0.9978615
146.20000000000002,0.9978598
146.4,0.9978585
146.6,0.9978576
146.8,0.9978573
147.0,0.9978576
147.20000000000002,0.9978584
147.4,0.9978593
147.6,0.99786
147.8,0.9978604
148.0,0.9978602
148.20000000000002,0.9978595
148.4,0.9978586
148.6,0.9978575
148.8,0.9978567
149.0,0.9978561
149.20000000000002,0.997856
149.4,0.9978562
149.6,0.9978566
149.8,0.9978571
150.0,0.9978574
150.20000000000002,0.9978575
150.4,0.9978572
150.6,0.9978567
150.8,0.997856
151.0,0.9978553
151.20000000000002,0.9978548
151.4,0.9978544
151.6,0.9978543
151.8,0.9978543
152.0,0.9978544
152.20000000000002,0.9978542
152.4,0.9978539
152.6,0.9978532
152.8,0.9978522
153.0,0.997851
153.20000000000002,0.9978496
153.4,0.9978481
153.60000000000002,0.9978466
153.8,0.9978454
154.0,0.9978443
154.20000000000002,0.9978435
154.4,0.9978431
154.60000000000002,0.9978431
154.8,0.9978437
155.0,0.9978447
155.20000000000002,0.9978463
155.4,0.9978485
155.60000000000002,0.9978512
155.8,0.9978543
156.0,0.9978576
156.20000000000002,0.9978611
156.4,0.9978645
156.60000000000002,0.9978677
156.8,0.9978703
157.0,0.9978723
157.20000000000002,0.9978735
157.4,0.9978738
157.60000000000002,0.9978732
157.8,0.9978719
158.0,0.9978701
158.20000000000002,0.9978678
158.4,0.9978654
158.60000000000002,0.9978633
158.8,0.9978615
159.0,0.9978603
159.20000000000002,0.9978596
159.4,0.9978594
159.60000000000002,0.9978595
159.8,0.9978596
160.0,0.9978594
160.20000000000002,0.9978585
160.4,0.9978569
160.60000000000002,0.9978547
160.8,0.9978518
161.0,0.9978487
161.20000000000002,0.9978456
161.4,0.997843
161.60000000000002,0.9978409
161.8,0.9978395
162.0,0.9978386
162.20000000000002,0.9978381
162.4,0.9978376
162.60000000000002,0.9978369
162.8,0.9978358
163.0,0.9978342
163.20000000000002,0.9978321
163.4,0.9978297
163.60000000000002,0.9978274
163.8,0.9978254
164.0,0.9978239
164.20000000000002,0.997823
